  alpha pca  Ks   dv-err
------- ---  ---  ------
1.0e-03   1   1 69.383
1.0e-03   1   2 73.633
1.0e-03   1   5 74.667
1.0e-03   1  10 76.050
1.0e-03   1  20 77.133
1.0e-03   1  50 76.850
1.0e-03   1 100 76.250
1.0e-03   2   1 55.517
1.0e-03   2   2 60.267
1.0e-03   2   5 60.917
1.0e-03   2  10 63.467
1.0e-03   2  20 67.183
1.0e-03   2  50 69.300
1.0e-03   2 100 67.683
1.0e-03   5   1 28.533
1.0e-03   5   2 28.083
1.0e-03   5   5 30.483
1.0e-03   5  10 31.250
1.0e-03   5  20 33.550
1.0e-03   5  50 36.200
1.0e-03   5 100 36.500
1.0e-03  10   1 12.267
1.0e-03  10   2 11.817
1.0e-03  10   5 10.567
1.0e-03  10  10 10.200
1.0e-03  10  20 10.933
1.0e-03  10  50  9.317
1.0e-03  10 100  9.900
1.0e-03  20   1  6.700
1.0e-03  20   2  6.100
1.0e-03  20   5  5.250
1.0e-03  20  10  4.417
1.0e-03  20  20  4.367
1.0e-03  20  50  4.183
1.0e-03  20 100  3.967
1.0e-03  50   1  5.683
1.0e-03  50   2  5.267
1.0e-03  50   5  4.533
1.0e-03  50  10  3.300
1.0e-03  50  20  3.350
1.0e-03  50  50  2.900
1.0e-03  50 100  3.383
1.0e-03 100   1  5.617
1.0e-03 100   2  5.283
1.0e-03 100   5  4.283
1.0e-03 100  10  3.367
1.0e-03 100  20  3.433
1.0e-03 100  50  3.517
1.0e-03 100 100  3.383
